"eventName","eventDescription","eventConstant","owner","feature","tags","groupDescription","propertyName","propertyDescription","propertyType","propertyPossibleValues","propertyIsNullable"
"DATASCIENCE.ADD_CELL_BELOW","User adds a cell below the current cell for IW.","Telemetry.AddCellBelow","amunger","InteractiveWindow","","","duration","Duration of a measure in milliseconds.
Common measurement used across a number of events.","number","",false
"DATASCIENCE.CLICKED_EXPORT_NOTEBOOK_AS_QUICK_PICK","User exports the IW or Notebook to a specific format.","Telemetry.ClickedExportNotebookAsQuickPick","IanMatthewHuff","Import-Export, InteractiveWindow","","","format","What format to export to was selected in the quick pick.","","pdf ()
html ()
python ()
ipynb ()",false
"DATASCIENCE.CREATE_NEW_INTERACTIVE","Command to create a new Interactive Window.","Telemetry.CreateNewInteractive","amunger","InteractiveWindow","","","","","","",""
"DATASCIENCE.DATA_VIEWER_DATA_DIMENSIONALITY","Telemetry event sent when a slice is first applied in a
data viewer instance to a sliceable Python variable.","Telemetry.DataViewerDataDimensionality","IanMatthewHuff","DataFrameViewer","","","numberOfDimensions","This property represents the number of dimensions
on the target variable being sliced. This should
always be 2 at minimum.","number","",false
"DATASCIENCE.DATA_VIEWER_SLICE_ENABLEMENT_STATE_CHANGED","Telemetry event sent whenever the user toggles the checkbox
controlling whether a slice is currently being applied to an
n-dimensional variable.","Telemetry.DataViewerSliceEnablementStateChanged","IanMatthewHuff","DataFrameViewer","","","newState","This property is either 'checked' when the result of toggling
the checkbox is for slicing to be enabled, or 'unchecked'
when the result of toggling the checkbox is for slicing
to be disabled.","","checked ()
unchecked ()",false
"DATASCIENCE.DATA_VIEWER_SLICE_OPERATION","Telemetry event sent whenever the user applies a valid slice
to a sliceable Python variable in the data viewer.","Telemetry.DataViewerSliceOperation","IanMatthewHuff","DataFrameViewer","","","source","This property indicates whether the slice operation
was triggered using the dropdown or the textbox in
the slice control panel. `source` is one of `dropdown`,
`textbox`, or `checkbox`.","","dropdown ()
textbox ()
checkbox ()",false
"DATASCIENCE.DEBUG_CONTINUE","Telemetry event sent when user hits the `continue` button while debugging IW","Telemetry.DebugContinue","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUG_CURRENT_CELL","Telemetry event sent when user debugs the cell in the IW","Telemetry.DebugCurrentCell","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUG_FILE_INTERACTIVE","Telemetry event sent when user debugs the file in the IW","Telemetry.DebugFileInteractive","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUG_STEP_OVER","Telemetry event sent when user hits the `step over` button while debugging IW","Telemetry.DebugStepOver","roblourens","Debugger","","","","","","",""
"DATASCIENCE.DEBUG_STOP","Telemetry event sent when user hits the `stop` button while debugging IW","Telemetry.DebugStop","roblourens","Debugger","","","","","","",""
